Concept	Frequency	Family	Tag	Random_Walk_Community	Random_Walk_Links	Language_Count	Language_Count_Weighted	Cognate_Count	Cognate_Count_Weighted
FOOT	15	Arawakan	human body part	2	LEG:2.01;TOE:1.34	LEG:4.00;TOE:1.00	LEG:0.07;TOE:0.01	TOE:1.00	TOE:0.01
HAND	15	Arawakan	human body part	10	FINGER:3.00	FINGER:1.00	FINGER:0.01	FINGER:1.00	FINGER:0.01
HEAD	15	Arawakan	human body part	4	ARM:0.01				
LEG	15	Arawakan	human body part	2	FOOT:2.01;TOE:0.91	FOOT:4.00	FOOT:0.07	FOOT:4.00	FOOT:0.07
MOUTH	15	Arawakan	human body part	12	LIP:0.03;NOSE:0.81				
NECK	15	Arawakan	human body part	13					
SHOULDER	15	Arawakan	human body part	3	HEEL:1.50	HEEL:1.00	HEEL:0.03	HEEL:1.00	HEEL:0.03
TOOTH	15	Arawakan	human body part	14					
BLACK	151	Sino-Tibetan	color	1	RED:0.04;BLUE:0.01;WHITE:0.01;YELLOW:0.01				
DOUBT	16	Austroasiatic	emotion	2	BAD:0.01;WANT:0.03				
PROUD	16	Austroasiatic	emotion	5	HAPPY:0.03;LOVE:0.60;GOOD:0.24	LOVE:1.00	LOVE:0.00	LOVE:1.00	LOVE:0.00
ENVY	16	Tai-Kadai	emotion	1	ANGER:0.80;HATE:0.77	HATE:1.00;ANGER:1.00	HATE:0.00;ANGER:0.00	ANGER:1.00	ANGER:0.00
BELLY	16	Tucanoan	human body part	6					
CHIN	16	Tucanoan	human body part	7	JAW:3.00	JAW:1.00	JAW:0.25	JAW:1.00	JAW:0.25
ELBOW	16	Tucanoan	human body part	3	KNEE:2.25;WRIST:2.25	WRIST:1.00;KNEE:1.00	WRIST:0.01;KNEE:0.00	KNEE:1.00	KNEE:0.00
FOREHEAD	16	Tucanoan	human body part	8	FACE:0.52				
SURPRISED	17	Austroasiatic	emotion	6	BAD:0.08				
GREEN	17	Tucanoan	color	2	BLUE:3.00	BLUE:1.00	BLUE:1.00	BLUE:1.00	BLUE:1.00
GOOD	17	Tucanoan	emotion	4	BAD:1.45	BAD:1.00	BAD:0.00	BAD:1.00	BAD:0.00
ARM	17	Tucanoan	human body part	4	HAND:1.10;SHOULDER:0.58	HAND:3.00	HAND:0.03	HAND:2.00	HAND:0.01
BREAST	17	Tucanoan	human body part	1	CHEST:1.78	CHEST:1.00	CHEST:0.00	CHEST:1.00	CHEST:0.00
